Metric,Mean,Std
Final_WA,0.776173285198556,
Final_UA,0.7896131166612135,
Final_WF1,0.7747831243280714,
Final_UF1,0.7814208504068766,
Sup_WA,0.7787003610108304,0.018167491177019705
Sup_UA,0.7874125277202167,0.014868495606285021
Sup_WF1,0.7776770999133691,0.01939850228025504
Sup_UF1,0.7841444275491094,0.018543445754803184
